Timestamp;ID;11a;11b;11c;11d;11e;13a;13b;13c;15a;15b;15c;15d;15e;15f;18a;18b;18c;18d;18e;18f;Degree;Study Program;Total Semesters;My gender ;Country of Origin;Attended SEBA;Already Entrepreneur;I started this project in a university course;Comments I would like to share:;I attended a course where I developed a technical prototype? (If 'Yes' name it)
11.28.2017 10:55:29;35;1;1;4;1;2;1;1;1;2;3;5;5;4;6;1;1;1;3;2;3;Master;Data Engineering and Analytics;11;Male;Iran;no;no;;;Lab MIS
11.28.2017 10:58:03;36;6;7;7;7;7;4;7;2;4;1;3;6;5;5;2;4;4;6;4;6;Master;Information Systems;7;Male;Germany;no;yes;no;;No
11.28.2017 11:00:22;37;3;4;6;6;2;4;7;1;4;3;5;3;4;4;2;2;2;2;1;3;Master;Information Systems;7;Female;Germany;no;no;;;Semesterproject
11.28.2017 11:34:49;38;7;7;7;7;7;7;7;7;5;6;4;5;6;5;7;7;6;6;7;6;Master;Information Systems;9;Female;Germany;no;no;;;Web analytics dashboard 
11.28.2017 11:37:55;39;6;6;6;6;6;7;7;4;5;3;5;3;4;4;5;5;5;6;5;5;Master;Informatics;1;Male;Ukraine;no;no;;;No
11.28.2017 11:39:50;40;6;6;7;6;7;7;7;7;6;3;5;4;4;5;3;5;7;5;5;6;Master;Data Engineering and Analytics;1;Female;Mexico;no;no;;I have always thought about being an entrepreneur I would really like to do it but currently my goal is to finish my masters then and during this period I would think about the idea to start a company;No
11.28.2017 11:42:19;41;7;7;7;7;7;6;6;1;3;2;4;3;3;4;7;7;7;6;5;5;Bachelor;Computer Science;5;Male;Albania;no;yes;yes;;IT-basiertes Lernen gestalten
11.28.2017 11:45:52;42;4;5;4;6;5;5;7;2;2;3;3;2;3;4;4;3;3;3;3;3;Master;Information Systems;10;Female;Germany ;yes;no;;;
11.28.2017 11:47:33;43;1;2;1;1;1;1;3;3;2;4;4;1;1;1;1;1;1;1;1;1;Master;Informatics;5;Female;India;no;no;;;IOT
11.28.2017 11:47:54;44;7;7;7;7;6;3;1;7;7;7;5;7;7;5;5;6;7;7;7;7;Master;Informatics;13;Male;India;no;yes;yes;;Internet of Things lecture
11.28.2017 11:53:42;45;2;6;6;6;4;1;6;7;5;6;4;5;6;4;2;3;3;4;2;5;Master;Information Systems;10;Male;Germany;yes;yes;no;;
11.28.2017 12:02:12;46;7;6;7;6;6;6;7;5;4;4;5;5;5;4;6;5;6;7;7;7;Master;Data Engineering and Analytics;9;Male;Egypt;no;yes;no;;No
11.28.2017 12:07:11;47;7;7;5;6;7;3;5;6;6;6;6;5;7;6;5;6;6;6;5;7;Master;Information Systems;10;Male;Germany;yes;no;;;
11.28.2017 12:09:34;48;4;5;7;5;4;3;6;4;3;5;4;3;2;4;2;4;5;5;3;5;Master;Informatics;5;Male;Moldova;no;no;;;TechChallenge
11.28.2017 12:09:37;49;4;6;6;5;4;1;2;2;4;6;6;3;5;7;4;3;4;4;2;4;Master;Information Systems;8;Male;Germany;yes;no;;;
11.28.2017 12:10:48;50;4;7;4;6;6;7;7;7;4;5;5;6;7;6;2;5;3;5;6;5;Master;Information Systems;more;Female;Germany ;yes;no;;;
11.28.2017 12:12:04;51;5;5;5;5;3;6;4;3;5;4;5;5;5;5;4;4;5;4;2;4;Master;Information Systems;9;Male;Germany;yes;no;;;
11.28.2017 12:34:07;52;3;2;2;3;2;1;5;6;3;1;1;1;1;3;1;1;1;1;1;1;Master;Informatics;7;Male;Germany;no;no;;;No
11.28.2017 12:34:12;53;4;5;5;4;1;7;1;1;4;1;1;1;1;4;4;1;2;2;2;1;Master;Informatics;7;Male;Germany;no;no;;;No
11.28.2017 13:09:20;54;4;6;3;7;4;1;7;6;3;2;3;3;3;5;3;4;5;4;5;6;Bachelor;Information Systems;4;Male;Germany ;no;yes;no;;No
11.28.2017 13:11:06;55;4;6;5;5;6;7;1;7;6;5;6;6;5;5;5;5;2;6;6;4;Master;It Security;11;Male;Germany;no;no;;;No
11.28.2017 13:11:40;56;6;7;7;6;6;7;3;3;3;3;2;1;2;4;5;5;5;6;5;7;Master;Computational Science and Engineering;12;Male;Romania;no;yes;no;;No
11.28.2017 13:12:24;57;6;6;7;6;7;4;4;4;2;3;4;2;5;6;6;6;6;6;4;6;Bachelor;Informatics;5;Female;Germany ;no;yes;no;;No
11.28.2017 13:13:31;58;5;5;5;6;5;7;7;7;5;4;4;3;3;5;6;4;7;5;5;5;Bachelor;Games Engineering;5;Female;Germany;no;no;;;No
11.28.2017 13:13:35;59;1;1;3;3;1;6;3;1;2;1;1;1;4;1;2;2;4;1;1;3;Bachelor;Games Engineering;8;Inter/Diverse;Germany;no;no;;;No
11.28.2017 13:21:48;60;7;7;7;7;5;6;7;5;5;6;7;7;7;6;7;6;7;7;7;7;Master;Robotics Cognition Intelligence;2;Male;Germany;no;yes;no;;Will attend TMS
11.28.2017 14:22:04;61;7;7;7;6;6;2;7;2;2;2;1;1;1;4;2;2;6;4;4;5;Master;Informatics;1;Male;Syria;no;no;;;No
11.28.2017 16:23:38;62;2;2;2;2;2;5;4;2;2;1;2;1;2;4;1;2;1;2;1;1;Master;Computer Science;14;Female;Germany;no;no;;;Master practical course: SAP Leonardo
11.29.2017 7:39:13;63;7;7;7;7;6;7;7;4;1;7;7;6;7;6;6;7;7;7;7;7;Master;Computational Science and Engineering;11;Female;Colombia;no;no;;;No
11.29.2017 13:02:59;64;6;7;7;7;7;7;1;6;4;7;4;5;5;5;6;7;7;7;7;7;Bachelor;Informatics;6;Male;Israel;no;yes;no;;No
11.29.2017 13:16:55;65;5;5;6;7;2;7;6;3;1;3;2;1;1;2;4;5;1;4;2;4;Master;Computational Science and Engineering;5;Male;USA;no;no;;;No
11.30.2017 19:28:33;66;3;3;7;5;2;1;4;7;5;4;5;6;6;5;2;2;2;3;5;2;Bachelor;Information Systems;5;Female;Germany;no;no;;;No
